,0,1,2,3,4,5,6,7,8,9,10
229,0.658,0.636,10.0,-6.646,1.0,0.03,0.72,7.4e-05,0.079,0.796,123.166
230,0.507,0.6,5.0,-9.088,1.0,0.0236,0.59,0.00408,0.291,0.387,92.416
231,0.318,0.69,9.0,-6.174,1.0,0.0326,0.421,0.0132,0.108,0.37,149.843
232,0.607,0.457,2.0,-12.943,1.0,0.0272,0.571,0.00376,0.25,0.355,137.613
233,0.668,0.554,1.0,-11.218,0.0,0.0316,0.546,0.00105,0.0789,0.503,97.096
234,0.54,0.942,9.0,-7.114,1.0,0.0783,0.00153,0.00136,0.31,0.643,127.741
235,0.509,0.216,1.0,-12.749,0.0,0.0375,0.624,1.59e-05,0.166,0.0948,122.674
236,0.559,0.754,1.0,-7.47,0.0,0.0344,0.0839,0.0,0.0997,0.567,120.852
237,0.536,0.169,9.0,-13.475,1.0,0.0366,0.701,0.000977,0.124,0.0389,126.668
238,0.482,0.268,1.0,-10.945,1.0,0.046,0.865,0.0,0.131,0.511,82.783
239,0.439,0.867,4.0,-7.722,1.0,0.0618,0.00907,8.93e-06,0.679,0.318,129.103
240,0.499,0.571,4.0,-7.566,1.0,0.0268,0.577,0.165,0.119,0.865,133.105
241,0.576,0.924,2.0,-4.431,1.0,0.0739,0.374,0.0,0.299,0.756,161.485
242,0.636,0.251,9.0,-15.429,1.0,0.0291,0.755,0.000765,0.24,0.528,98.934
243,0.619,0.727,2.0,-5.789,1.0,0.0292,0.132,0.00671,0.235,0.564,115.446
244,0.819,0.514,5.0,-7.238,1.0,0.0441,0.831,0.0,0.0784,0.74,121.466
245,0.513,0.662,6.0,-8.394,1.0,0.028,0.0592,0.0,0.0893,0.523,121.24
246,0.489,0.763,4.0,-7.163,1.0,0.0271,0.000519,0.7,0.247,0.941,131.322
247,0.421,0.7,5.0,-7.976,1.0,0.0518,0.263,1.02e-05,0.147,0.588,79.798
248,0.496,0.676,5.0,-8.595,1.0,0.0267,0.596,0.0112,0.729,0.376,93.182
249,0.422,0.41,7.0,-10.442,1.0,0.0305,0.465,0.0722,0.0818,0.216,131.161
250,0.855,0.694,2.0,-4.393,1.0,0.169,0.371,0.0,0.109,0.49,122.078
251,0.835,0.66,2.0,-4.471,1.0,0.305,0.393,0.0,0.114,0.459,121.948
252,0.884,0.698,0.0,-9.101,1.0,0.364,0.0405,0.0,0.195,0.575,140.068
253,0.908,0.621,1.0,-6.638,0.0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011
254,0.735,0.677,2.0,-4.979,1.0,0.093,0.0762,2.17e-05,0.111,0.188,100.584
255,0.563,0.717,1.0,-5.186,1.0,0.337,0.000874,0.0,0.183,0.427,82.064
256,0.8,0.585,10.0,-7.343,1.0,0.0924,0.264,0.0,0.153,0.779,126.058
257,0.698,0.633,8.0,-4.946,1.0,0.0597,0.0605,0.000194,0.0926,0.552,96.924
258,0.638,0.523,1.0,-6.664,1.0,0.357,0.00454,0.0,0.0842,0.422,139.913
259,0.782,0.633,8.0,-4.644,1.0,0.341,0.0355,0.0,0.0615,0.749,150.055
260,0.783,0.61,7.0,-6.124,1.0,0.0696,0.343,0.0,0.0983,0.418,100.047
261,0.566,0.724,1.0,-4.574,1.0,0.323,0.00102,0.0,0.158,0.407,81.774
262,0.658,0.535,9.0,-8.983,0.0,0.0573,0.0265,0.0,0.2,0.419,110.684
263,0.855,0.478,1.0,-9.116,1.0,0.193,0.00759,0.0,0.101,0.284,130.018
264,0.748,0.705,4.0,-4.547,0.0,0.485,0.204,0.0,0.246,0.483,189.891
265,0.741,0.562,4.0,-5.474,0.0,0.165,0.172,0.0,0.0751,0.292,180.068
266,0.884,0.657,6.0,-4.569,0.0,0.0977,0.00589,0.0,0.154,0.489,107.059
267,0.796,0.766,7.0,-5.974,1.0,0.238,0.0742,0.0,0.0827,0.558,110.034
268,0.898,0.935,11.0,-2.744,1.0,0.291,0.00778,3.63e-05,0.217,0.884,150.016
269,0.706,0.688,1.0,-6.357,1.0,0.269,0.151,0.0,0.466,0.313,125.966
270,0.825,0.575,11.0,-4.87,1.0,0.0633,0.025,9.94e-06,0.205,0.65,153.954
271,0.487,0.729,2.0,-6.815,1.0,0.271,0.0538,4.07e-06,0.44,0.217,91.048
272,0.779,0.572,6.0,-9.985,0.0,0.378,0.157,0.0,0.246,0.647,135.956
273,0.467,0.41,2.0,-12.028,1.0,0.185,0.328,4.28e-05,0.113,0.136,95.931
274,0.7,0.615,8.0,-5.387,1.0,0.0619,0.0284,0.0133,0.0843,0.449,96.84
275,0.546,0.651,1.0,-7.601,1.0,0.3,0.000739,0.0,0.235,0.646,77.878
276,0.609,0.799,9.0,-6.883,1.0,0.24,0.33,0.0,0.108,0.582,157.74
277,0.577,0.447,8.0,-5.892,1.0,0.277,0.00627,0.00022,0.0899,0.189,74.236
278,0.692,0.713,10.0,-4.489,0.0,0.351,0.343,0.0,0.102,0.615,137.36
